Job ID,Cluster,User/Group,State,Nodes,Cores per node,CPU Utilized,CPU Efficiency,Job Wall-clock time,Memory Utilized,Memory Efficiency,Cores,Array Job ID,WARNING
73197,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,4,01:01:12,68.25,00:22:25,789.65 MB,38.56,,73190_6,
73198,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,4,01:01:42,68.25,00:22:36,793.78 MB,38.76,,73190_7,
73199,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,4,00:42:27,68.10,00:15:35,659.35 MB,32.19,,73190_8,
73200,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,20,00:01:07,27.92,00:00:12,406.46 MB,2.48,,,
73201,ihealth-cluster,rmarcar/rmarcar,COMPLETED (exit code 0),1,16,00:02:30,15.62,00:01:00,2.57,4.02,,,
73202,ihealth-cluster,rmarcar/rmarcar,COMPLETED (exit code 0),1,16,00:02:31,24.84,00:00:38,2.60,4.07,,,
73203,ihealth-cluster,rmarcar/rmarcar,COMPLETED (exit code 0),1,16,00:02:33,29.88,00:00:32,2.31,3.61,,,
73204,ihealth-cluster,rmarcar/rmarcar,COMPLETED (exit code 0),1,16,00:02:32,29.69,00:00:32,2.56,4.00,,,
73205,ihealth-cluster,rmarcar/rmarcar,COMPLETED (exit code 0),1,16,10:52:42,13.10,05:11:29,35.89,56.08,,,
73206,ihealth-cluster,rmarcar/rmarcar,COMPLETED (exit code 0),1,16,2-10:24:40,10.90,1-09:29:18,33.96,53.06,,,
73207,ihealth-cluster,maparegal/maparegal,COMPLETED (exit code 0),1,20,24-14:34:46,80.72,1-12:34:47,80.00,100.00,,,
73208,ihealth-cluster,rmarcar/rmarcar,CANCELLED (exit code 0),1,16,00:03:00,2.98,00:06:17,4.33,6.76,,,
73209,ihealth-cluster,rmarcar/rmarcar,CANCELLED (exit code 0),1,16,00:01:35,5.35,00:01:51,4.26,6.66,,,
73210,ihealth-cluster,rmarcar/rmarcar,COMPLETED (exit code 0),1,16,00:51:31,21.66,00:14:52,17.64,27.55,,,
73211,ihealth-cluster,rmarcar/rmarcar,COMPLETED (exit code 0),1,16,00:02:30,30.24,00:00:31,3.00,4.69,,,
73212,ihealth-cluster,rmarcar/rmarcar,COMPLETED (exit code 0),1,16,00:02:21,31.47,00:00:28,6.21 MB,0.01,,,
73213,ihealth-cluster,rmarcar/rmarcar,FAILED (exit code 1),1,16,00:00:16,4.00,00:00:25,290.92 MB,0.36,,,
73214,ihealth-cluster,rmarcar/rmarcar,FAILED (exit code 1),1,4,00:00:15,22.06,00:00:17,254.21 MB,0.31,,,
73215,ihealth-cluster,rmarcar/rmarcar,COMPLETED (exit code 0),1,16,00:53:25,17.24,00:19:22,15.65,24.45,,,
73216,ihealth-cluster,rmarcar/rmarcar,COMPLETED (exit code 0),1,16,00:00:07,6.25,00:00:07,5.29 MB,0.01,,,
73217,ihealth-cluster,rmarcar/rmarcar,COMPLETED (exit code 0),1,16,00:01:37,18.37,00:00:33,2.59,4.04,,,
73218,ihealth-cluster,fjmadariagal/fjmadariagal,TIMEOUT (exit code 0),1,2,00:04:44,3.92,01:00:25,3.88,99.30,,,
73219,ihealth-cluster,maparegal/maparegal,COMPLETED (exit code 0),1,20,3-19:18:05,80.50,05:40:15,60.76,75.95,,,
73220,ihealth-cluster,cgvallea/cgvallea,CANCELLED (exit code 0),1,2,00:02:21,2.04,00:57:40,3.36,42.05,,,
73221,ihealth-cluster,dibarrera/dibarrera,COMPLETED (exit code 0),1,10,14:37:55,10.00,14:38:05,1.82,1.82,,,
73222,ihealth-cluster,cgvallea/cgvallea,CANCELLED (exit code 0),1,20,01:51:11,69.78,00:07:58,3.22,20.14,,,
73224,ihealth-cluster,cgvallea/cgvallea,CANCELLED (exit code 0),1,20,01:45:09,71.86,00:07:19,2.75,17.19,,73223_17,
73225,ihealth-cluster,cgvallea/cgvallea,COMPLETED (exit code 0),1,10,04:56:37,79.88,00:37:08,9.02,56.39,,73225_21,
73226,ihealth-cluster,cgvallea/cgvallea,COMPLETED (exit code 0),1,10,06:27:39,81.47,00:47:35,8.01,50.05,,73225_17,
73227,ihealth-cluster,cgvallea/cgvallea,COMPLETED (exit code 0),1,10,03:47:45,80.48,00:28:18,6.31,39.41,,73225_18,
73228,ihealth-cluster,cgvallea/cgvallea,COMPLETED (exit code 0),1,10,04:07:14,79.62,00:31:03,7.62,47.62,,73225_19,
73229,ihealth-cluster,cgvallea/cgvallea,COMPLETED (exit code 0),1,10,03:47:05,78.76,00:28:50,6.30,39.37,,73225_20,
73230,ihealth-cluster,cgvallea/cgvallea,CANCELLED (exit code 0),1,2,00:07:59,2.69,02:28:10,4.74,59.21,,,
73231,ihealth-cluster,pamessina/pamessina,TIMEOUT (exit code 0),1,8,00:00:05,0.01,03:00:19,199.52 MB,0.97,,,
73232,ihealth-cluster,cgvallea/cgvallea,CANCELLED (exit code 0),1,8,00:01:51,0.42,00:55:27,1.16,11.62,,,
73233,ihealth-cluster,maparegal/maparegal,COMPLETED (exit code 0),1,2,00:19:28,74.21,00:13:07,33.78,51.97,,,
73234,ihealth-cluster,cgvallea/cgvallea,CANCELLED (exit code 0),1,2,00:08:39,14.74,00:29:21,5.66,70.79,,,
73235,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,4,00:00:03,25.00,00:00:03,312.00 KB,0.01,,,
73236,ihealth-cluster,cgvallea/cgvallea,CANCELLED (exit code 0),1,4,00:05:06,75.74,00:01:41,1.31,32.69,,,
73237,ihealth-cluster,cgvallea/cgvallea,CANCELLED (exit code 0),1,4,00:03:45,73.05,00:01:17,1.15,28.68,,,
73238,ihealth-cluster,cgvallea/cgvallea,CANCELLED (exit code 0),1,4,00:02:36,76.47,00:00:51,1.03,25.78,,,
73239,ihealth-cluster,cgvallea/cgvallea,COMPLETED (exit code 0),1,4,00:18:08,75.35,00:06:01,2.26,56.58,,,
73240,ihealth-cluster,cgvallea/cgvallea,COMPLETED (exit code 0),1,4,00:17:41,74.93,00:05:54,2.36,59.12,,,
73241,ihealth-cluster,cgvallea/cgvallea,COMPLETED (exit code 0),1,4,00:17:22,75.95,00:05:43,2.19,54.77,,,
73242,ihealth-cluster,cgvallea/cgvallea,COMPLETED (exit code 0),1,4,00:17:11,74.71,00:05:45,2.04,50.94,,,
73243,ihealth-cluster,cgvallea/cgvallea,COMPLETED (exit code 0),1,4,00:18:03,76.27,00:05:55,2.33,58.21,,,
73244,ihealth-cluster,cgvallea/cgvallea,COMPLETED (exit code 0),1,4,00:17:35,76.23,00:05:46,2.38,59.53,,,
73245,ihealth-cluster,cgvallea/cgvallea,COMPLETED (exit code 0),1,4,00:18:06,76.26,00:05:56,2.03,50.75,,,
73246,ihealth-cluster,cgvallea/cgvallea,COMPLETED (exit code 0),1,4,00:17:59,76.42,00:05:53,2.38,59.44,,,
73247,ihealth-cluster,cgvallea/cgvallea,COMPLETED (exit code 0),1,4,00:17:34,76.38,00:05:45,2.15,53.66,,,
73248,ihealth-cluster,cgvallea/cgvallea,COMPLETED (exit code 0),1,4,00:17:07,76.19,00:05:37,2.29,57.30,,,
73249,ihealth-cluster,cgvallea/cgvallea,CANCELLED (exit code 0),1,20,00:05:11,1.19,00:21:51,17.71,88.55,,,
73250,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 127),1,4,00:00:00,0.00,00:00:00,144.00 KB,0.00,,73250_10,
73251,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 127),1,4,00:00:00,0.00,00:00:01,180.00 KB,0.00,,73250_1,
73252,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 127),1,4,00:00:00,0.00,00:00:00,156.00 KB,0.00,,73250_2,
73253,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 127),1,4,00:00:00,0.00,00:00:00,120.00 KB,0.00,,73250_3,
73254,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 127),1,4,00:00:00,0.00,00:00:00,252.00 KB,0.00,,73250_4,
73255,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 127),1,4,00:00:00,0.00,00:00:00,100.00 KB,0.00,,73250_5,
73256,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 127),1,4,00:00:00,0.00,00:00:00,304.00 KB,0.00,,73250_6,
73257,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 127),1,4,00:00:00,0.00,00:00:00,148.00 KB,0.00,,73250_7,
73258,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 127),1,4,00:00:00,0.00,00:00:00,168.00 KB,0.00,,73250_8,
73259,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 127),1,4,00:00:00,0.00,00:00:00,236.00 KB,0.00,,73250_9,
73260,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 127),1,4,00:00:00,0.00,00:00:01,88.00 KB,0.00,,73260_10,
73261,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 127),1,4,00:00:00,0.00,00:00:01,252.00 KB,0.00,,73260_1,
